Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.098000,-92.964000,90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.565000,-104.986000,90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.002000,-88.900000,180.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.353000,-104.902000,180.000000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.353000,-107.315000,180.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.813000,-126.746000,180.000000,top
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.796000,-117.094000,90.000000,top
"D1","BAT20J","D_SOD-323_HandSoldering",138.277600,-103.774000,90.000000,top
"D2","BAT20J","D_SOD-323_HandSoldering",141.909800,-103.774000,90.000000,top
"D3","LED","LED_0805_2012Metric",133.858000,-121.285000,180.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",138.176000,-68.580000,180.000000,top
"Q1","IRLML2502","SOT-23",139.700000,-116.205000,0.000000,top
"R1","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.858000,-123.571000,0.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.549000,-108.796000,180.000000,top
"R10","0.15","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",143.002000,-82.550000,0.000000,top
"R11","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.954000,-86.614000,-90.000000,top
"R12","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.050000,-86.614000,-90.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.941000,-106.045000,90.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.862000,-106.045000,90.000000,top
"R15","470k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.258000,-123.698000,180.000000,top
"SW1","SW_Push_DPDT","SW_JS202011SCQN",130.429000,-115.189000,-90.000000,top
"U1","74AHC1G02","SOT-23-5_HandSoldering",148.844000,-117.348000,90.000000,top
"U2","TMP117AIDRVT","SON65P200X200X80-7N",146.050000,-105.918000,0.000000,top
"U3","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",144.272000,-94.615000,90.000000,top
"U8","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",160.655000,-114.300000,0.000000,top
"U9","74AHC1GU04","SOT-23-5_HandSoldering",154.813000,-123.698000,180.000000,top
